Feature,Importance
ust,0.19620907031698745
e w,0.19585612485030626
gh,0.1956807024972698
hw,0.1951786930180876
chw,0.1951786930180876
loi,0.19506972935421948
ois,0.19506972935421948
ngl,0.19506972935421948
glo,0.19506972935421948
ast,0.19492705276979191
uld,0.1948824906178281
db,0.1948824906178281
ldb,0.1948824906178281
dbr,0.1948824906178281
am,0.19455075498198102
ara,0.19338894591393774
bad,0.1930545243832528
mal,0.19282358049052553
nos,0.19253851336406264
rbe,0.1924569293567211
sco,0.19222365097418112
rna,0.1919384851717181
ley,0.19188012302887225
war,0.1913788699823751
olf,0.19119415074550444
old,0.19093263796813226
elt,0.19015820106785988
ång,0.18969316347694837
vån,0.18969316347694837
ån,0.18969316347694837
vå,0.18969316347694837
ó,0.18958426190838934
ddi,0.1894457047474122
mus,0.18933645485197004
asm,0.18933645485197004
smu,0.18933645485197004
amb,0.1872586149314006
anz,0.18711988594275
wou,0.1868665533110424
bbs,0.18675053602132888
dob,0.18675053602132888
jeż,0.18664676832656463
eż,0.18664676832656463
ngh,0.18624343665318802
amo,0.18583627725449745
yma,0.1854524774730043
ym,0.1854524774730043
eym,0.1854524774730043
hey,0.1854524774730043
osa,0.18539080106652098
kst,0.18495448298608333
mas,0.1846620367539979
sey,0.1846620367539979
rlo,0.18403598581394495
kç,0.18391487403521092
haa,0.18389590501111536
ama,0.1836156202154267
boe,0.18327595601443222
we,0.18284533160800315
ore,0.182342787270202
wan,0.18203285135061342
ke,0.18136405247285295
ruz,0.18136360767448276
pl,0.18063191615821886
lte,0.18049006970287693
iri,0.1803285010146738
zaa,0.17994676814398736
id,0.17988132957257078
hlb,0.17927555214844018
bbe,0.1792256358198151
hob,0.1792256358198151
beu,0.17917768460813505
vin,0.17905891096165913
uil,0.17901645780077496
bat,0.17868427474927503
rry,0.17848495248929974
reu,0.17847579675472497
uha,0.17837082840832746
nac,0.1783102367307934
ius,0.17797677504471365
niu,0.17797677504471365
jun,0.17731500283344662
ung,0.17731500283344662
ju,0.17731500283344662
oel,0.17719142182412131
uip,0.176891107446518
pen,0.17659416140626652
ams,0.17644138104288817
ols,0.17616670573126628
leg,0.17612515480587207
egr,0.17612515480587207
sj,0.17561753080402998
sje,0.17561753080402998
asj,0.17561753080402998
eyn,0.1751367293494843
ynd,0.1751367293494843
rey,0.1751367293494843
tos,0.17480729009886173
odi,0.17448290579735648
lk,0.17444404300418206
ett,0.17436130390760066
rss,0.17428230648940915
oer,0.1739483097569859
bon,0.17390492501730487
lbo,0.17390492501730487
sau,0.17378716390860732
eke,0.1732090021561041
red,0.17308249587300414
bra,0.17303310184250636
arb,0.17289096229950784
woo,0.1728856558417655
rtz,0.17287656061101397
esc,0.1720400752162226
mbe,0.17186071077956347
dm,0.1718152957526391
adm,0.1718152957526391
dmi,0.1718152957526391
owm,0.17150213191672237
wma,0.17150213191672237
bow,0.17150213191672237
uch,0.17148660031147553
ano,0.1710142276287697
mu,0.17056426979343967
deb,0.17042645719927893
ebr,0.17042645719927893
ipp,0.17022229404809652
hip,0.17022229404809652
 co,0.170135647709617
ese,0.1698693209645885
dem,0.16971707298954838
oth,0.16941486495027708
ied,0.16892096037537713
ghe,0.1688151648409198
egh,0.1688151648409198
aj,0.168353790201163
qu,0.1683211164216792
bsp,0.1678637755666749
abs,0.1678637755666749
spo,0.1678637755666749
poe,0.1678637755666749
hä,0.16774551407568675
pin,0.16766823887251942
bag,0.1673531258849245
ock,0.16724332339359743
nig,0.16722638190616215
dge,0.16670541740322
dg,0.16670541740322
odg,0.16670541740322
j,0.16651013499410236
tol,0.1661147576231834
cı,0.16611463815580418
tge,0.1660631670567945
utg,0.1660631670567945
tg,0.1660631670567945
nr,0.16580928207770695
nra,0.16580928207770695
ile,0.16566740427040547
irc,0.16564364107190074
erz,0.16520863248226622
rzi,0.16520863248226622
ruy,0.1650342346524766
yss,0.1650342346524766
ol,0.1648244158673388
kol,0.16475094054521164
moo,0.1643975921843514
rei,0.16388511005128617
 cl,0.16381011670859796
wit,0.16376294707932826
chn,0.16349737694203084
hne,0.16349737694203084
aud,0.16330875674025588
öma,0.16321268009682005
kne,0.163026011748077
 jo,0.1630009349349081
e j,0.1630009349349081
 j,0.1630009349349081
he,0.162350830360543
alí,0.1623146554771133
lí,0.1623146554771133
oub,0.16210679467941283
jou,0.16210679467941283
qv,0.16164431868180418
qvi,0.16164431868180418
khu,0.16153357132326923
akh,0.16153357132326923
uiz,0.16153357132326923
ize,0.16153357132326923
ijk,0.16123366257692923
jk,0.16123366257692923
auk,0.16115603287642097
uke,0.16115603287642097
nts,0.1610710031835633
aru,0.16074546567497436
les,0.1602621858539441
mg,0.1601275585699576
kai,0.15976464195010867
as,0.15948396947670052
cas,0.15879554335816254
ter,0.1583503678843936
pu,0.15781098037049018
ong,0.1577203974989506
rke,0.15766803475552185
rme,0.15755911170068948
ad,0.15743774455831294
tts,0.15698763083181627
che,0.15689618926016827
lun,0.15688312707222496
uer,0.15665048860614003
aue,0.15665048860614003
ham,0.1562824493940468
tra,0.15616794530078407
rp,0.15605534791687287
apu,0.1559783839999119
hap,0.1559783839999119
put,0.1559783839999119
ja,0.15541516630364258
isk,0.15538032110194952
lag,0.15529790158933388
ome,0.15501138673703238
je,0.1549139795157233
ltm,0.15488007370944892
lom,0.15430981806975003
ria,0.15415769480459654
oy,0.15357105500098406
wee,0.15356600688146527
eeb,0.15356600688146527
kei,0.15329802786789098
ken,0.15320485384749646
gg,0.15306463130575132
gge,0.15306463130575132
cau,0.1530518182161944
lus,0.15301437045025632
hoe,0.15250038044507688
ens,0.15248445861141238
es,0.15240677120045998
aul,0.15229068968262444
aaf,0.15177045261536354
pk,0.15169661542616525
opk,0.15169661542616525
hop,0.15169661542616525
pki,0.15169661542616525
lik,0.15126059042341009
çel,0.15126059042341009
çe,0.15126059042341009
ø,0.151244726100056
rap,0.15098344343736717
sev,0.1507656201251655
tor,0.15072734651845307
lmo,0.15047899533226194
fr,0.15044853704401526
irm,0.15043669427247597
aet,0.1499940436451016
ei,0.14935038054554853
röm,0.1493413743566362
rö,0.1493413743566362
trö,0.1493413743566362
orp,0.14834416424778152
dor,0.14834416424778152
doo,0.14805339146021299
ote,0.14742419883592298
nsc,0.14742419883592298
ira,0.14680545420129543
ber,0.1467187960412436
rc,0.14658113786236007
enk,0.14644062685753825
rel,0.1463730428646216
ott,0.14636999086037603
oot,0.14631855734334298
agu,0.14520226085954474
hut,0.14462732073336254
utm,0.14462732073336254
ada,0.1442982971343714
aum,0.14408263671908425
jer,0.14403688995463898
rog,0.14402375946263862
gev,0.14402375946263862
ogg,0.14402375946263862
hof,0.14394569197314172
hwa,0.1433828939849845
goo,0.1432456785103848
ari,0.14307897990907362
ili,0.14304659253645255
iko,0.14282168647978244
vro,0.14265751595503529
gra,0.14246411600604847
us,0.142326056230393
edr,0.14219935880496878
ajs,0.14211803039543047
js,0.14211803039543047
por,0.14211419816143547
fab,0.1416663568109932
mbr,0.14149628593958372
hei,0.14124521208079063
osm,0.14104898372220961
tka,0.14104898372220961
rau,0.14102210106934354
ull,0.1408694452355396
cke,0.14081032073353056
kam,0.140370413025505
lsk,0.14016125274443833
irt,0.1398531353253576
wir,0.1398531353253576
off,0.1398382898834038
cla,0.13944129938327593
tki,0.13916931876451424
sek,0.13910285099663722
lls,0.139076104550009
arv,0.13867203068079584
eil,0.1383175750923369
age,0.13828291818391264
